,Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
57747,3 Paget Street ,HUGHESDALE VIC 3166,HUGHESDALE,VIC,3166,House,29-Mar-21,private treaty,2450000,5,2,2,847,Buxton Oakleigh,-37.8928424,145.0776204,13.32417313
57753,28 Craddock Street ,NORTH GEELONG VIC 3215,NORTH GEELONG,VIC,3215,House,18-Dec-21,auction,900000,3,1,2,848,UNKNOWN,-38.12959375,144.3476525,64.36846022
57777,2/30 Albert Street ,GEELONG WEST VIC 3218,GEELONG WEST,VIC,3218,Apartment ,1-Jul-22,private treaty,387000,1,1,1,84,Ricky Forte,-38.1404324,144.3452849,65.20237877
57778,2004/23 Batman Street ,WEST MELBOURNE VIC 3003,WEST MELBOURNE,VIC,3003,Apartment ,10-Mar-22,private treaty,740000,2,2,1,84,JMRE Real Estate,-37.8102978,144.95284,1.00629073
57798,5 Railway Parade ,DEER PARK VIC 3023,DEER PARK,VIC,3023,House,29-Oct-21,auction,1050000,3,1,2,850,Sweeney Estate Agents Caroline Springs,-37.7760773,144.7690133,17.58393969
57805,6 Sandalwood Circuit ,TARNEIT VIC 3029,TARNEIT,VIC,3029,House,17-Feb-22,auction,840000,4,2,5,850,Ray White Tarneit,-37.8663322,144.6641882,26.89413112
57818,29 Stewart Street ,BRUNSWICK VIC 3056,BRUNSWICK,VIC,3056,House,4-Mar-17,auction,2230000,4,2,3,851,Nelson Alexander Brunswick,-37.7635221,144.9662102,5.645219393
57820,42 Arbour Boulevard ,BURNSIDE HEIGHTS VIC 3023,BURNSIDE HEIGHTS,VIC,3023,House,7-Jul-21,auction,1255000,4,3,5,851,UNKNOWN,-37.7368024,144.7516141,20.49537689
57844,311 Ohea Street ,PASCOE VALE SOUTH VIC 3044,PASCOE,VIC,3044,House,20-Mar-21,auction,1450000,3,2,3,852,Nelson Alexander Pascoe Vale,-37.7434265,144.9384767,8.167643982
57853,2 Harrison Court ,BURNSIDE HEIGHTS VIC 3023,BURNSIDE HEIGHTS,VIC,3023,House,28-Feb-22,private treaty,1150000,4,2,3,853,YPA Estate Agents Caroline Springs,-37.733545,144.7498909,20.78714482
57854,21 Allison Avenue ,EUMEMMERRING VIC 3177,EUMEMMERRING,VIC,3177,House,12-Mar-22,auction,855000,3,2,4,853,UNKNOWN,-38.0010825,145.2481908,32.52279354
57860,29 Shorts Road ,COBURG NORTH VIC 3058,COBURG NORTH,VIC,3058,House,20-Jun-21,auction,1342000,4,1,4,854,Barry Plant Coburg,-37.7238217,144.9614538,10.05584103
57880,3 Alison Place ,ASPENDALE GARDENS VIC 3195,ASPENDALE GARDENS,VIC,3195,House,6-Jul-21,private treaty,1131000,3,2,2,855,OBrien Real Estate Carrum Downs,-38.0133979,145.1052551,25.42274733
57885,23 Romawi Street ,ALTONA VIC 3018,ALTONA,VIC,3018,House,27-Nov-17,auction,1650000,4,2,2,855,Barlow McEwan Tribe Altona,-37.8639721,144.8254868,13.29970819
57893,3 Rowell Place ,TAYLORS LAKES VIC 3038,TAYLORS LAKES,VIC,3038,House,31-Jan-22,private treaty,940000,5,2,2,856,Barry Plant Taylors Lakes,-37.6849485,144.7701052,22.24926124
57932,43 St Kinnord St ,ABERFELDIE VIC 3040,ABERFELDIE,VIC,3040,House,13-May-17,auction,1860000,5,2,2,858,McDonald Upton,-37.7575321,144.9027516,8.243414579
57944,7 Prospect Street ,ESSENDON WEST VIC 3040,ESSENDON WEST,VIC,3040,House,3-Dec-21,auction,1475000,5,2,4,859,Jellis Craig Moonee Valley,-37.75348,144.8847515,9.651530935
57945,22 Cleek Avenue ,OAKLEIGH SOUTH VIC 3167,OAKLEIGH SOUTH,VIC,3167,House,1-Sep-21,private treaty,1530000,3,1,3,859,OBrien Real Estate Oakleigh,-37.9118747,145.0880899,15.43835973
57960,2/33 Hillside Crescent ,MARIBYRNONG VIC 3032,MARIBYRNONG,VIC,3032,Townhouse,25-Feb-22,auction,717000,2,2,1,85,Barry Plant Essendon,-37.772976,144.8953064,7.524259366
57961,36/352 Canterbury Road ,ST KILDA VIC 3182,ST KILDA,VIC,3182,Apartment ,2-Apr-22,auction,615000,2,1,2,85,Belle Property South Melbourne,-37.8598078,144.9773362,5.221642633
57968,43 Crimson Drive ,DOVETON VIC 3177,DOVETON,VIC,3177,House,10-Apr-22,private treaty,750000,3,1,1,860,Sultani Real Estate,-37.9830594,145.2343758,30.32110131
57998,72 Spring Road ,SPRINGVALE SOUTH VIC 3172,SPRINGVALE SOUTH,VIC,3172,House,18-Dec-21,auction,1061000,3,2,2,861,Barry Plant Dandenong,-37.968875,145.1363947,22.96000221
58003,8 Carboni Court ,MULGRAVE VIC 3170,MULGRAVE,VIC,3170,House,19-Mar-22,private treaty,1046000,5,2,2,862,Barry Plant Monash,-37.9309381,145.1958959,24.21010807
58015,5 Stone Court ,VIEWBANK VIC 3084,VIEWBANK,VIC,3084,House,26-Apr-21,private treaty,1670000,4,2,2,862,Jellis Craig Ivanhoe,-37.7379951,145.088227,13.88454286
58026,164 Dundas Street ,THORNBURY VIC 3071,THORNBURY,VIC,3071,House,19-Dec-20,auction,1625000,3,2,2,863,Woodards Northcote,-37.7525838,145.0041494,7.744773386
58046,57 Haddon Hall Drive ,ATTWOOD VIC 3049,ATTWOOD,VIC,3049,House,20-Dec-21,private treaty,1375000,5,2,2,864,Barry Plant Gladstone Park,-37.6708818,144.8842149,17.38974443
58051,16 Meehan Court ,KEILOR VIC 3036,KEILOR,VIC,3036,House,16-Mar-22,auction,1420000,5,3,2,864,UNKNOWN,-37.7194945,144.8287754,15.83136645
58075,56 Campaspe Crescent ,BROOKFIELD VIC 3338,BROOKFIELD,VIC,3338,House,4-Jul-22,auction,602000,3,2,2,864,YPA Estate Agents Melton,-37.6972134,144.5636753,37.46440708
58080,25 Upper Road ,WATTLE GLEN VIC 3096,WATTLE GLEN,VIC,3096,House,19-Feb-22,auction,950000,3,1,3,864,Jellis Craig Eltham,-37.6602442,145.1850503,25.96676187
58104,16 Mascot Avenue ,BONBEACH VIC 3196,BONBEACH,VIC,3196,House,13-Mar-22,private treaty,2150000,5,3,2,865,Ray White Frankston,-38.0704412,145.1251172,31.84434394
58113,16 South Avenue ,BENTLEIGH VIC 3204,BENTLEIGH,VIC,3204,House,20-Dec-21,private treaty,1860000,4,2,2,865,Buxton Real Estate Bentleigh,-37.930122,145.0357656,14.38206507
58115,11 Eulinga Road ,CLARINDA VIC 3169,CLARINDA,VIC,3169,House,11-May-21,auction,1402500,4,2,2,865,UNKNOWN,-37.9308635,145.1023939,17.82661794
58128,4 Ghiran Close ,ASPENDALE GARDENS VIC 3195,ASPENDALE GARDENS,VIC,3195,House,13-Nov-21,auction,1255000,4,2,2,866,Buxton Real Estate Dingley Village,-38.0182336,145.1111817,26.14703893
58167,3/319 Inkerman Street ,ST KILDA EAST VIC 3183,ST,VIC,3183,Apartment ,19-Jun-22,auction,630000,2,1,1,868,  Gary Peer,-37.8669506,145.0041437,6.882120753
58176,8 Arnold Street ,BRUNSWICK EAST VIC 3057,BRUNSWICK EAST,VIC,3057,House,22-Sep-20,private treaty,1900000,3,1,4,869,Ray White Brunswick,-37.77443528,144.9753883,4.553627956
58185,1/208 Alexandra Parade East ,CLIFTON HILL VIC 3068,CLIFTON HILL,VIC,3068,Townhouse,25-Nov-21,private treaty,840000,2,1,0,86,Australian Home Partners,-37.7949969,144.9979084,3.727730822
58191,6 Roosevelt Court ,DINGLEY VILLAGE VIC 3172,DINGLEY VILLAGE,VIC,3172,House,18-Mar-21,auction,1380000,5,3,2,870,Barry Plant Bayside,-37.9811194,145.1236691,23.3048573
58196,4 Kingswood Court ,MERRICKS BEACH VIC 3926,MERRICKS BEACH,VIC,3926,House,19-Apr-15,auction,1880000,3,2,2,870,RT Edgar Flinders,-38.3987793,145.1097232,66.27392938
58198,8 Whimbrel Court ,CAPEL SOUND VIC 3940,CAPEL SOUND,VIC,3940,House,16-Oct-21,auction,1050000,3,2,2,870,UNKNOWN,-38.3780456,144.8805337,63.13018144
58214,1 Wattle Grove ,PORTSEA VIC 3944,PORTSEA,VIC,3944,House,18-Feb-18,auction,1700000,3,2,2,872,Kay & Burton Portsea,-38.3247078,144.7198152,60.64845268
58248,2 Reid Court ,SOMERS VIC 3927,SOMERS,VIC,3927,House,10-Jul-21,auction,1351000,3,1,2,874,RT Edgar Flinders,-38.3941207,145.1670218,66.92490537
58249,13 Finch Road ,WERRIBEE SOUTH VIC 3030,WERRIBEE SOUTH,VIC,3030,House,13-May-22,private treaty,782500,2,1,1,874,YPA Estate Agents Point Cook,-37.9714036,144.6885894,29.77513023
58250,17 Box Court ,BENTLEIGH EAST VIC 3165,BENTLEIGH EAST,VIC,3165,House,13-Nov-20,private treaty,1550000,3,2,2,874,Jellis Craig Bentleigh,-37.9211799,145.0518263,14.21840191
58251,51 Schutt Street ,NEWPORT VIC 3015,NEWPORT,VIC,3015,House,12-Apr-22,private treaty,2400000,4,2,5,874,UNKNOWN,-37.8407427,144.8806981,7.822571385
58266,5 Landscape Place ,SUNBURY VIC 3429,SUNBURY,VIC,3429,House,30-Jan-22,auction,1015000,6,4,4,875,Ray White Reservoir,-37.5522577,144.7080725,36.78619452
58282,25 Northcliffe Road ,EDITHVALE VIC 3196,EDITHVALE,VIC,3196,House,9-Jul-20,private treaty,1610000,4,2,3,877,Belle Property Mentone,-38.0416333,145.1143956,28.56427808
58285,12 Carrington Road ,NIDDRIE VIC 3042,NIDDRIE,VIC,3042,House,11-Dec-21,auction,2020000,4,2,1,877,Barry Plant Essendon,-37.7376917,144.8895535,10.69261616
58294,12 Forster Street ,NORLANE VIC 3214,NORLANE,VIC,3214,House,15-Dec-18,auction,342500,3,1,4,878,Harcourts North Geelong,-38.0952343,144.3576009,61.62549399
58306,35 St Andrews Avenue ,ROSEBUD VIC 3939,ROSEBUD,VIC,3939,House,16-Apr-21,Another Method,1660000,3,2,2,879,UNKNOWN,-38.370723,144.928748,61.97326209
58320,13 Kalman Road ,EPPING VIC 3076,EPPING,VIC,3076,House,14-May-22,auction,840000,4,2,4,880,Ray White Mill Park,-37.6502579,145.0501897,19.77898339
58329,1161-1163 Centre Road ,OAKLEIGH SOUTH VIC 3167,OAKLEIGH SOUTH,VIC,3167,House,5-Nov-21,auction,1200000,3,1,2,880,Harcourts First,-37.9241443,145.0836035,16.16622398
58342,55 Princes Street ,WATSONIA VIC 3087,WATSONIA,VIC,3087,House,5-Mar-22,auction,1251000,5,2,2,881,Buckingham & Company,-37.706251,145.0811768,15.87194616
58343,43 Nepean Highway ,ASPENDALE VIC 3195,ASPENDALE,VIC,3195,House,16-Mar-20,private treaty,1800000,2,1,2,881,UNKNOWN,-38.0127709,145.0906091,24.75544346
58347,3 McLennan Street ,EUMEMMERRING VIC 3177,EUMEMMERRING,VIC,3177,House,27-Jun-22,private treaty,765000,3,1,4,881,UNKNOWN,-38.0012539,145.2430454,32.18907291
58392,5 Lockwood Street ,POINT LONSDALE VIC 3225,POINT LONSDALE,VIC,3225,House,7-Dec-19,private treaty,1800000,3,2,2,884,RT Edgar Point Lonsdale,-38.2779655,144.6091107,60.18770775
58398,39 Trumper Crescent ,LEOPOLD VIC 3224,LEOPOLD,VIC,3224,House,5-Jul-22,private treaty,900000,4,2,6,884,Hayden Real Estate Ocean Grove,-38.1892105,144.475508,59.72106951
58409,8 Heysham Place ,KEILOR DOWNS VIC 3038,KEILOR DOWNS,VIC,3038,House,24-Mar-22,auction,950000,4,2,2,886,Barry Plant Taylors Lakes,-37.7167968,144.8098989,17.29252374
58412,33 Carbine Way ,KEILOR DOWNS VIC 3038,KEILOR DOWNS,VIC,3038,House,21-Jun-22,private treaty,795000,3,2,2,886,UNKNOWN,-37.7244203,144.793066,17.98426537
58418,179 Nepean Highway ,SEAFORD VIC 3198,SEAFORD,VIC,3198,House,17-Sep-21,private treaty,1500000,4,2,2,886,UNKNOWN,-38.11032205,145.1261009,35.90172451
58419,64 Tahara Street ,HAMLYN HEIGHTS VIC 3215,HAMLYN HEIGHTS,VIC,3215,House,26-Mar-22,auction,915000,4,2,8,886,Harcourts North Geelong,-38.1203247,144.3205157,65.84017305
58441,1-5/1 Dodds Street ,SPRINGVALE VIC 3171,SPRINGVALE,VIC,3171,Block of units,24-Jun-21,private treaty,1575000,7,5,5,888,Century 21 Wilson Pride,-37.9611735,145.1629556,23.97496171
58443,1 Henshall Road ,STRATHMORE VIC 3041,STRATHMORE,VIC,3041,House,26-Oct-19,auction,1850000,3,1,2,888,Jellis Craig Kensington,-37.737736,144.9181139,9.383733883
58445,11 Royal Avenue ,ESSENDON NORTH VIC 3041,ESSENDON NORTH,VIC,3041,House,26-Jun-21,private treaty,1600000,4,2,4,888,Nelson Alexander Essendon,-37.7368165,144.9034667,10.08283909
58458,51 Bondi Road ,BONBEACH VIC 3196,BONBEACH,VIC,3196,House,21-Aug-21,auction,1480000,4,1,2,889,Hodges Mentone/Chelsea,-38.0619928,145.1247921,30.99348087
58462,14 Velvet Road ,PORT MELBOURNE VIC 3207,PORT MELBOURNE,VIC,3207,Townhouse,8-Feb-20,auction,1187000,4,3,2,88,UNKNOWN,-37.829216,144.9426328,2.456884171
58477,68 Roberts Street ,WEST FOOTSCRAY VIC 3012,WEST FOOTSCRAY,VIC,3012,House,13-Mar-21,auction,1735000,4,2,2,890,Village Real Estate Seddon,-37.8110583,144.8696368,8.225815741
58481,11 Bass Vista Boulevard ,CAPE SCHANCK VIC 3939,CAPE SCHANCK,VIC,3939,House,4-Jan-22,private treaty,995000,2,1,2,890,UNKNOWN,-38.4608166,144.9016192,72.12233463
58488,25 Trevascus Street ,CAULFIELD SOUTH VIC 3162,CAULFIELD SOUTH,VIC,3162,House,15-Dec-21,auction,3310000,5,3,4,891, Gary Peer,-37.8969616,145.0270083,10.77717821
58537,2 Curlew Point Drive ,PATTERSON LAKES VIC 3197,PATTERSON LAKES,VIC,3197,House,27-Jul-19,auction,1500000,5,3,4,893,Hockingstuart Frankston,-38.0768554,145.1393714,33.05006737
58552,42 Graham Street ,SUNSHINE VIC 3020,SUNSHINE,VIC,3020,House,16-May-21,auction,1153800,3,2,5,894,Douglas Kay Estate Agents,-37.7882068,144.8282536,12.20452061
58597,34 Empress Way ,MELTON WEST VIC 3337,MELTON WEST,VIC,3337,House,13-Apr-22,private treaty,600000,4,2,3,897,YPA Estate Agents Melton,-37.6806073,144.5608133,38.38097508
58599,17 Palmerston Grove ,OAKLEIGH VIC 3166,OAKLEIGH,VIC,3166,House,13-Jul-15,private treaty,2000000,4,2,2,898,Ray White Oakleigh,-37.8982782,145.0911909,14.62351545
58603,40 Sterling Drive ,KEILOR EAST VIC 3033,KEILOR EAST,VIC,3033,House,23-Feb-22,auction,840000,3,1,1,898,Harcourts Vision,-37.7413169,144.8585195,12.26309646
58619,4 Tuckett Street ,ALPHINGTON VIC 3078,ALPHINGTON,VIC,3078,House,7-May-16,auction,1970000,3,1,3,899,Jellis Craig Fitzroy,-37.781019,145.0229275,6.421042329
58624,137-163 Harkaway Road ,HARKAWAY VIC 3806,HARKAWAY,VIC,3806,House,10-May-21,private treaty,6000000,5,3,3,80000,Barry Plant Berwick ( Sales ),-38.0002695,145.3416887,39.13857226
58625,234 Eramosa Road West ,MOOROODUC VIC 3933,MOOROODUC,VIC,3933,House,2-Nov-17,auction,1910000,6,2,4,80000,McEwing Partners,-38.214097,145.1106297,46.31787722
58638,8 Greig Drive ,MERNDA VIC 3754,MERNDA,VIC,3754,House,11-May-22,private treaty,1070000,4,2,2,9,Exchanged Real Estate,-37.5887617,145.1024732,27.91400702
58639,1-4/1767 Dandenong Road ,OAKLEIGH EAST VIC 3166,OAKLEIGH EAST,VIC,3166,Block of units,12-Dec-17,private treaty,2450000,1,4,4,9,Ray White Oakleigh,-37.9039215,145.1153403,16.67802299
58645,10/42 WATERLOO CRESCENT ,ST KILDA VIC 3182,ST KILDA,VIC,3182,Studio,13-Dec-18,private treaty,235432,1,1,1,9,UNKNOWN,-37.8617855,144.9842646,5.606340716
58647,26 Parker Street ,ORMOND VIC 3204,ORMOND,VIC,3204,House,12-Dec-20,auction,2706000,4,2,4,9,Hodges Real Estate Sandringham,-37.9043135,145.0487849,12.52869533
58670,3 Moodie Street ,CAULFIELD EAST VIC 3145,CAULFIELD EAST,VIC,3145,House,4-Dec-21,auction,2700000,5,2,4,9,Buxton Real Estate Bentleigh,-37.8822841,145.0488213,10.67361922
58699,5/35 Norfolk Street ,YARRAVILLE VIC 3013,YARRAVILLE,VIC,3013,Townhouse,12-May-22,private treaty,720000,2,1,1,9,UNKNOWN,-37.8202931,144.891348,6.346149699
58700,4 Camelia Grove ,CHELTENHAM VIC 3192,CHELTENHAM,VIC,3192,House,20-Nov-21,auction,1990000,4,2,4,9,Buxton Real Estate Dingley Village,-37.9703649,145.077524,20.06067005
58701,24 Chancellor Avenue ,BUNDOORA VIC 3083,BUNDOORA,VIC,3083,House,3-Jun-22,private treaty,730000,3,2,2,9,Barry Plant Bundoora,-37.6807782,145.0715753,17.64136658
58706,5 Rainwater Drive ,LYNDHURST VIC 3975,LYNDHURST,VIC,3975,House,22-Mar-22,auction,2005001,4,4,2,9,Area Specialist Casey,-38.0668886,145.2496078,37.69952339
58715,32 Highpoint Drive ,SOUTH MORANG VIC 3752,SOUTH MORANG,VIC,3752,House,9-Jul-22,auction,1746000,4,2,2,9,Ray White Bundoora,-37.61886315,145.0656191,23.52513237
58722,2 & 2A Randell Crescent ,HAMPTON EAST VIC 3188,HAMPTON EAST,VIC,3188,Townhouse,26-May-17,auction,2250000,6,5,3,9,Buxton Hampton East,-37.9327204,145.026186,14.29551499
58730,257 Gilbert Road ,PRESTON VIC 3072,PRESTON,VIC,3072,House,26-Feb-22,auction,2320000,5,3,4,9,Ray White Preston,-37.74234913,144.9892262,8.315878384
58733,19 Golf Links Avenue ,OAKLEIGH VIC 3166,OAKLEIGH,VIC,3166,House,9-Jul-21,auction,1770600,3,1,1,9,Harcourts First,-37.9046981,145.0913703,15.1014589
58744,9 Ardmillan Road ,MOONEE PONDS VIC 3039,MOONEE PONDS,VIC,3039,House,27-May-17,auction,2775000,5,2,2,9,McDonald Upton,-37.7636117,144.9159229,6.994711976
58764,55 Waltham Street ,FLEMINGTON VIC 3031,FLEMINGTON,VIC,3031,House,22-Apr-15,private treaty,2900000,5,4,4,9,Nelson Alexander Flemington,-37.7838192,144.930186,4.453299074
58767,7 Ardmillan Road ,MOONEE PONDS VIC 3039,MOONEE PONDS,VIC,3039,House,7-May-16,private treaty,2860000,5,4,3,9,Nelson Alexander Essendon,-37.763635,144.9161884,6.978793059
58774,3/1 Alcona Court ,BELL PARK VIC 3215,BELL PARK,VIC,3215,Apartment ,23-Sep-21,private treaty,205000,1,1,1,9,Harcourts North Geelong,-38.1079844,144.3387392,63.76753585
58791,70 Tower Road ,MOUNT ELIZA VIC 3930,MOUNT ELIZA,VIC,3930,House,4-Jun-22,auction,4660000,3,2,4,9016,McEwing Partners,-38.2049826,145.0874961,44.80978644
58794,40 Nobby Street ,POINT LEO VIC 3916,POINT LEO,VIC,3916,House,18-Jul-18,private treaty,2150000,4,2,2,9264,Kay & Burton Flinders,-38.4186285,145.0721615,67.90183996
58800,93 Jones Road ,TYABB VIC 3913,TYABB,VIC,3913,House,18-Jan-21,private treaty,3010000,5,4,2,9499,Kay & Burton Flinders,-38.2611303,145.1669763,52.81944677
58805,85 Research Warrandyte Road ,NORTH WARRANDYTE VIC 3113,NORTH WARRANDYTE,VIC,3113,House,9-Jan-22,private treaty,1750000,4,3,5,9761,Barry Plant Eltham,-37.7347579,145.2208891,24.32193734
58806,23 Kurrak Road ,YARRAMBAT VIC 3091,YARRAMBAT,VIC,3091,House,6-May-20,private treaty,1550000,4,2,2,9779,Barry Plant Bundoora,-37.6505452,145.1200864,22.84728429
58809,88 Bannons Lane ,YARRAMBAT VIC 3091,YARRAMBAT,VIC,3091,House,24-Oct-19,auction,1600000,4,2,3,9925,UNKNOWN,-37.6264279,145.1408303,26.08944837
58811,235-245 Smiths Gully Road ,SMITHS GULLY VIC 3760,SMITHS GULLY,VIC,3760,House,17-Feb-22,private treaty,970000,2,1,4,9968,UNKNOWN,-37.6207761,145.27579,34.92285032
58813,191 River Avenue ,PLENTY VIC 3090,PLENTY,VIC,3090,House,6-Sep-21,private treaty,1650000,4,2,2,9984,Morrison Kleeman Estate Agents,-37.6662715,145.1230895,21.64923443
58815,9-15 June Street ,MOOLAP VIC 3224,MOOLAP,VIC,3224,House,19-Aug-21,private treaty,1378000,4,2,3,9985,Hayeswinckle East Geelong,-38.1699881,144.4182579,62.02849728
58818,400 Clyde Five Ways Road ,CLYDE VIC 3978,CLYDE,VIC,3978,House,12-May-22,auction,3050000,5,3,6,9995,Buxton Chelsea,-38.1191381,145.3269465,46.56114847
58819,1902 Whittlesea-Yea Road ,KINGLAKE WEST VIC 3757,KINGLAKE WEST,VIC,3757,House,29-Jan-22,private treaty,1200000,5,2,9,90600,UNKNOWN,-37.4760886,145.236559,44.65763267
58820,125 Turnung Road ,PANTON HILL VIC 3759,PANTON HILL,VIC,3759,House,1-Mar-22,private treaty,1380000,5,2,6,91700,Jellis Craig Eltham,-37.651257,145.2632387,32.02155875
58822,55 Menzies Road ,KANGAROO GROUND VIC 3097,KANGAROO GROUND,VIC,3097,House,28-Dec-17,private treaty,1670000,5,3,2,93100,Fletchers Real Estate Eltham,-37.7011108,145.2387695,27.30749333
58823,10 Paringa Road ,RED HILL SOUTH VIC 3937,RED,VIC,3937,House,26-Aug-19,private treaty,3300000,4,2,0,96100,Kay & Burton Flinders,-38.3909213,145.0426841,64.52317924
58826,6 Cormican Place ,LOVELY BANKS VIC 3213,LOVELY BANKS,VIC,3213,House,5-Jul-22,auction,795000,4,2,2,900,Ray White Geelong,-38.0844848,144.3355596,62.7208103
58829,69 Verdon Street ,WILLIAMSTOWN VIC 3016,WILLIAMSTOWN,VIC,3016,House,5-Oct-13,Another Method,2250000,5,4,4,900,Gunn &Co Estate Agents,-37.8603398,144.8938253,7.963395587
